Case	Number	Gender	label
Nom	Sing	Masc	Ονομ. εν. αρ.
Nom	Sing	Fem	Ονομ. εν. θηλ.
Nom	Sing	Neut	Ονομ. εν. ουδ.
Nom	Plur	Masc	Ονομ. πλ. αρ.
Nom	Plur	Fem	Ονομ. πλ. θηλ.
Nom	Plur	Neut	Ονομ. πλ. ουδ.
Gen	Sing	Masc	Γεν. εν. αρ.
Gen	Sing	Fem	Γεν. εν. θηλ.
Gen	Sing	Neut	Γεν. εν. ουδ.
Gen	Plur	Masc	Γεν. πλ. αρ.
Gen	Plur	Fem	Γεν. πλ. θηλ.
Gen	Plur	Neut	Γεν. πλ. ουδ.
Dat	Sing	Masc	Δοτ. εν. αρ.
Dat	Sing	Fem	Δοτ. εν. θηλ.
Dat	Sing	Neut	Δοτ. εν. ουδ.
Dat	Plur	Masc	Δοτ. πλ. αρ.
Dat	Plur	Fem	Δοτ. πλ. θηλ.
Dat	Plur	Neut	Δοτ. πλ. ουδ.
Acc	Sing	Masc	Αιτ. εν. αρ.
Acc	Sing	Fem	Αιτ. εν. θηλ.
Acc	Sing	Neut	Αιτ. εν. ουδ.
Acc	Plur	Masc	Αιτ. πλ. αρ.
Acc	Plur	Fem	Αιτ. πλ. θηλ.
Acc	Plur	Neut	Αιτ. πλ. ουδ.
Voc	Sing	Masc	Κλητ. εν. αρ.
Voc	Sing	Fem	Κλητ. εν. θηλ.
Voc	Sing	Neut	Κλητ. εν. ουδ.
Voc	Plur	Masc	Κλητ. πλ. αρ.
Voc	Plur	Fem	Κλητ. πλ. θηλ.
Voc	Plur	Neut	Κλητ. πλ. ουδ.
Nom	Sing		Ονομ. εν.
Nom	Plur		Ονομ. πλ.
Gen	Sing		Γεν. εν.
Gen	Plur		Γεν. πλ.
Dat	Sing		Δοτ. εν.
Dat	Plur		Δοτ. πλ.
Acc	Sing		Αιτ. εν.
Acc	Plur		Αιτ. πλ.
Voc	Sing		Κλητ. εν.
Voc	Plur		Κλητ. πλ.
