Tense	VerbForm	Voice	Mood	Person	Number	label
Pres	Fin	Act	Ind	1	Sing	Pres. Act. Ind. 1 Sg.
Pres	Fin	Act	Ind	2	Sing	Pres. Act. Ind. 2 Sg.
Pres	Fin	Act	Ind	3	Sing	Pres. Act. Ind. 3 Sg.
Pres	Fin	Act	Ind	1	Plur	Pres. Act. Ind. 1 Pl.
Pres	Fin	Act	Ind	2	Plur	Pres. Act. Ind. 2 Pl.
Pres	Fin	Act	Ind	3	Plur	Pres. Act. Ind. 3 Pl.
Pres	Fin	Act	Sub	1	Sing	Pres. Act. Sub. 1 Sg.
Pres	Fin	Act	Sub	2	Sing	Pres. Act. Sub. 2 Sg.
Pres	Fin	Act	Sub	3	Sing	Pres. Act. Sub. 3 Sg.
Pres	Fin	Act	Sub	1	Plur	Pres. Act. Sub. 1 Pl.
Pres	Fin	Act	Sub	2	Plur	Pres. Act. Sub. 2 Pl.
Pres	Fin	Act	Sub	3	Plur	Pres. Act. Sub. 3 Pl.
Pres	Fin	Act	Opt	1	Sing	Pres. Act. Opt. 1 Sg.
Pres	Fin	Act	Opt	2	Sing	Pres. Act. Opt. 2 Sg.
Pres	Fin	Act	Opt	3	Sing	Pres. Act. Opt. 3 Sg.
Pres	Fin	Act	Opt	1	Plur	Pres. Act. Opt. 1 Pl.
Pres	Fin	Act	Opt	2	Plur	Pres. Act. Opt. 2 Pl.
Pres	Fin	Act	Opt	3	Plur	Pres. Act. Opt. 3 Pl.
Pres	Fin	Act	Imp	2	Sing	Pres. Act. Imp. 2 Sg.
Pres	Fin	Act	Imp	2	Plur	Pres. Act. Imp. 2 Pl.
Pres	Inf	Act			Pres. Act. Inf.
Imp	Fin	Act	Ind	1	Sing	Impf. Act. Ind. 1 Sg.
Imp	Fin	Act	Ind	2	Sing	Impf. Act. Ind. 2 Sg.
Imp	Fin	Act	Ind	3	Sing	Impf. Act. Ind. 3 Sg.
Imp	Fin	Act	Ind	1	Plur	Impf. Act. Ind. 1 Pl.
Imp	Fin	Act	Ind	2	Plur	Impf. Act. Ind. 2 Pl.
Imp	Fin	Act	Ind	3	Plur	Impf. Act. Ind. 3 Pl.
Aor	Fin	Act	Ind	1	Sing	Aor. Act. Ind. 1 Sg.
Aor	Fin	Act	Ind	2	Sing	Aor. Act. Ind. 2 Sg.
Aor	Fin	Act	Ind	3	Sing	Aor. Act. Ind. 3 Sg.
Aor	Fin	Act	Ind	1	Plur	Aor. Act. Ind. 1 Pl.
Aor	Fin	Act	Ind	2	Plur	Aor. Act. Ind. 2 Pl.
Aor	Fin	Act	Ind	3	Plur	Aor. Act. Ind. 3 Pl.
Aor	Fin	Act	Sub	1	Sing	Aor. Act. Sub. 1 Sg.
Aor	Fin	Act	Sub	2	Sing	Aor. Act. Sub. 2 Sg.
Aor	Fin	Act	Sub	3	Sing	Aor. Act. Sub. 3 Sg.
Aor	Fin	Act	Sub	1	Plur	Aor. Act. Sub. 1 Pl.
Aor	Fin	Act	Sub	2	Plur	Aor. Act. Sub. 2 Pl.
Aor	Fin	Act	Sub	3	Plur	Aor. Act. Sub. 3 Pl.
Aor	Fin	Act	Opt	1	Sing	Aor. Act. Opt. 1 Sg.
Aor	Fin	Act	Opt	2	Sing	Aor. Act. Opt. 2 Sg.
Aor	Fin	Act	Opt	3	Sing	Aor. Act. Opt. 3 Sg.
Aor	Fin	Act	Opt	1	Plur	Aor. Act. Opt. 1 Pl.
Aor	Fin	Act	Opt	2	Plur	Aor. Act. Opt. 2 Pl.
