Tense	VerbForm	Aspect	Voice	Mood	Person	Number	label
Pres	Fin		Act	Ind	1	Sing	Наст. акт. изъяв. 1 ед.
Pres	Fin		Act	Ind	2	Sing	Наст. акт. изъяв. 2 ед.
Pres	Fin		Act	Ind	3	Sing	Наст. акт. изъяв. 3 ед.
Pres	Fin		Act	Ind	1	Plur	Наст. акт. изъяв. 1 мн.
Pres	Fin		Act	Ind	2	Plur	Наст. акт. изъяв. 2 мн.
Pres	Fin		Act	Ind	3	Plur	Наст. акт. изъяв. 3 мн.
Pres	Fin		Act	Sub	1	Sing	Наст. акт. сосл. 1 ед.
Pres	Fin		Act	Sub	2	Sing	Наст. акт. сосл. 2 ед.
Pres	Fin		Act	Sub	3	Sing	Наст. акт. сосл. 3 ед.
Pres	Fin		Act	Sub	1	Plur	Наст. акт. сосл. 1 мн.
Pres	Fin		Act	Sub	2	Plur	Наст. акт. сосл. 2 мн.
Pres	Fin		Act	Sub	3	Plur	Наст. акт. сосл. 3 мн.
Pres	Fin		Act	Opt	1	Sing	Наст. акт. опт. 1 ед.
Pres	Fin		Act	Opt	2	Sing	Наст. акт. опт. 2 ед.
Pres	Fin		Act	Opt	3	Sing	Наст. акт. опт. 3 ед.
Pres	Fin		Act	Opt	1	Plur	Наст. акт. опт. 1 мн.
Pres	Fin		Act	Opt	2	Plur	Наст. акт. опт. 2 мн.
Pres	Fin		Act	Opt	3	Plur	Наст. акт. опт. 3 мн.
Pres	Fin		Act	Imp	2	Sing	Наст. акт. повел. 2 ед.
Pres	Fin		Act	Imp	2	Plur	Наст. акт. повел. 2 мн.
Pres	Inf		Act			Наст. акт. инф.	
Imp	Fin		Act	Ind	1	Sing	Имперф. акт. изъяв. 1 ед.
Imp	Fin		Act	Ind	2	Sing	Имперф. акт. изъяв. 2 ед.
Imp	Fin		Act	Ind	3	Sing	Имперф. акт. изъяв. 3 ед.
Imp	Fin		Act	Ind	1	Plur	Имперф. акт. изъяв. 1 мн.
Imp	Fin		Act	Ind	2	Plur	Имперф. акт. изъяв. 2 мн.
Imp	Fin		Act	Ind	3	Plur	Имперф. акт. изъяв. 3 мн.
Aor	Fin		Act	Ind	1	Sing	Аор. акт. изъяв. 1 ед.
Aor	Fin		Act	Ind	2	Sing	Аор. акт. изъяв. 2 ед.
Aor	Fin		Act	Ind	3	Sing	Аор. акт. изъяв. 3 ед.
Aor	Fin		Act	Ind	1	Plur	Аор. акт. изъяв. 1 мн.
Aor	Fin		Act	Ind	2	Plur	Аор. акт. изъяв. 2 мн.
Aor	Fin		Act	Ind	3	Plur	Аор. акт. изъяв. 3 мн.
Aor	Fin		Act	Sub	1	Sing	Аор. акт. сосл. 1 ед.
Aor	Fin		Act	Sub	2	Sing	Аор. акт. сосл. 2 ед.
Aor	Fin		Act	Sub	3	Sing	Аор. акт. сосл. 3 ед.
Aor	Fin		Act	Sub	1	Plur	Аор. акт. сосл. 1 мн.
Aor	Fin		Act	Sub	2	Plur	Аор. акт. сосл. 2 мн.
Aor	Fin		Act	Sub	3	Plur	Аор. акт. сосл. 3 мн.
Aor	Fin		Act	Opt	1	Sing	Аор. акт. опт. 1 ед.
Aor	Fin		Act	Opt	2	Sing	Аор. акт. опт. 2 ед.
Aor	Fin		Act	Opt	3	Sing	Аор. акт. опт. 3 ед.
Aor	Fin		Act	Opt	1	Plur	Аор. акт. опт. 1 мн.
Aor	Fin		Act	Opt	2	Plur	Аор. акт. опт. 2 мн.
Aor	Fin		Act	Opt	3	Plur	Аор. акт. опт. 3 мн.
Aor	Fin		Act	Imp	2	Sing	Аор. акт. повел. 2 ед.
Aor	Fin		Act	Imp	2	Plur	Аор. акт. повел. 2 мн.
Aor	Inf		Act			Аор. акт. инф.	
Fut	Fin		Act	Ind	1	Sing	Буд. акт. изъяв. 1 ед.
Fut	Fin		Act	Ind	2	Sing	Буд. акт. изъяв. 2 ед.
Fut	Fin		Act	Ind	3	Sing	Буд. акт. изъяв. 3 ед.
